team,possession_pct,field_tilt,passes,pass_completion,progressive_passes,progressive_carries,final_third_entries,zone14_entries,xt_total,xt_per_action,shots,xg,goals,ppda
Argentina,54.2,60.5,693.0,80.8,51.0,22.0,36.0,24.0,1.915,0.0018,20.0,2.758,3.0,3.15
France,45.8,39.5,570.0,76.1,29.0,26.0,34.0,16.0,1.416,0.0016,10.0,2.273,3.0,3.02
